name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Visar Kastrati,Kosovo,38,6,0,0,0,2,Conference
Juan Martínez Munuera,Spain,43,12,1,0,1,2,Conference
François Letexier,France,36,10,0,0,0,2,Conference
Arda Kardeşler,Türkiye,37,5,0,1,1,2,Conference
Christian-Petru Ciochirca,Austria,36,7,0,0,1,2,Conference
Vangelis Manouchos,Greece,36,9,0,0,0,2,Conference
Jesús Gil Manzano,Spain,41,7,0,1,0,2,Conference
Luka Bilbija,Bosnia-Herzegovina,36,12,2,0,0,2,Conference
Gustavo Correia,Portugal,33,16,0,1,0,2,Conference
Vasilios Fotias,Greece,36,9,0,0,0,2,Conference
Ovidiu Hațegan,Romania,45,13,0,0,0,2,Conference
